Tasks,Dates,Times
Syllabus Quiz,"Sun Sep 27, 2020",due by 11:59pm
Quiz 1,"Mon Oct 5, 2020",due by 11:59pm
HW 1,"Mon Oct 5, 2020",due by 11:59pm
HW 1 Group Discussion,"Mon Oct 5, 2020",due by 11:59pm
HW 2 Group Discussion,"Mon Oct 12, 2020",due by 11:59pm
Quiz 2,"Mon Oct 12, 2020",due by 11:59pm
HW 2,"Mon Oct 12, 2020",due by 11:59pm
Proctorio practice quiz (Remotely Proctored),"Sun Oct 18, 2020",due by 11:59pm
HW 3 Group Discussion,"Mon Oct 19, 2020",due by 11:59pm
Quiz 3,"Mon Oct 19, 2020",due by 11:59pm
HW 3,"Mon Oct 19, 2020",due by 11:59pm
HW 4 Group Discussion,"Mon Oct 26, 2020",due by 11:59pm
Quiz 4,"Mon Oct 26, 2020",due by 11:59pm
HW 4,"Mon Oct 26, 2020",due by 11:59pm
Midterm (Remotely Proctored),"Sun Nov 1, 2020",due by 11:59pm
HW 5 Group Discussion,"Sun Nov 9, 2020",due by 11:59pm
Quiz 5,"Sun Nov 9, 2020",due by 11:59pm
HW 5,"Sun Nov 9, 2020",due by 11:59pm
HW 6 Group Discussion,"Mon Nov 16, 2020",due by 11:59pm
Quiz 6,"Mon Nov 16, 2020",due by 11:59pm
HW 6,"Mon Nov 16, 2020",due by 11:59pm
HW 7 Group Discussion,"Mon Nov 23, 2020",due by 11:59pm
Quiz 7,"Tue Nov 24, 2020",due by 11:59pm
HW 7,"Tue Nov 24, 2020",due by 11:59pm
Quiz 8,"Mon Nov 30, 2020",due by 11:59pm
Extra Credit,"Mon Nov 30, 2020",due by 11:59pm
eSet Completion,"Sun Dec 6, 2020",due by 11:59pm
HW 8 Portfolio Project Group Discussion,"Mon Dec 7, 2020",due by 11:59pm
HW 8: Portfolio Assignment,"Mon Dec 7, 2020",due by 11:59pm
Final Exam (Remotely Proctored),"Fri Dec 11, 2020",due by 11:59pm
