Tasks,Dates,Times
Summary Exercise - Week 1,"Sun Jun 28, 2020",due by 11:59pm
Program #1,"Sun Jul 5, 2020",due by 11:59pm
Quiz #1 (S),"Sun Jul 5, 2020",due by 11:59pm
Summary Exercise - Week 2,"Sun Jul 5, 2020",due by 11:59pm
Syllabus Quiz,"Sun Jul 5, 2020",due by 11:59pm
Program #2,"Sun Jul 12, 2020",due by 11:59pm
Summary Exercise - Week 3,"Sun Jul 12, 2020",due by 11:59pm
Summary Exercise - Week 4,"Sun Jul 19, 2020",due by 11:59pm
Midterm Exam,"Mon Jul 20, 2020",due by 11:59pm
Program #3,"Mon Jul 26, 2020",due by 11:59pm
Summary Exercise - Week 5,"Mon Jul 26, 2020",due by 11:59pm
Program #4,"Sun Aug 2, 2020",due by 11:59pm
Quiz #2 (S),"Sun Aug 2, 2020",due by 11:59pm
Summary Exercise - Week 6,"Sun Aug 2, 2020",due by 11:59pm
Program #5,"Sun Aug 9, 2020",due by 11:59pm
Summary Exercise - Week 7,"Sun Aug 9, 2020",due by 11:59pm
Final Exam,"Sun Aug 16, 2020",due by 11:59pm
Summary Exercise - Week 8,"Sun Aug 16, 2020",due by 11:59pm
Remaining Grace Days,,
