Tasks,Dates,Times
Course Policy Quiz,"Mon Apr 6, 2020",due by 11:59pm
HW Assignment 1: Node.js and Git,"Mon Apr 6, 2020",due by 11:59pm
HW Assignment 2: HTML/CSS,"Mon Apr 13, 2020",due by 11:59pm
Activity 1: JS Functions,"Mon Apr 20, 2020",due by 11:59pm
Activity 2: JS Environment,"Mon Apr 20, 2020",due by 11:59pm
Activity 3: JS Objects,"Mon Apr 20, 2020",due by 11:59pm
Activity 4: Fixing Closure Loop,"Mon Apr 27, 2020",due by 11:59pm
HW Assignment 3: Higher-Order Functions and Objects,"Mon Apr 27, 2020",due by 11:59pm
HW Assignment 4: DOM and Events,"Mon May 4, 2020",due by 11:59pm
Activity 5: Ajax Interactions,"Mon May 11, 2020",due by 11:59pm
Project proposal,"Mon May 11, 2020",due by 11:59pm
HW Assignment 5: GET and POST checker,"Mon May 18, 2020",due by 11:59pm
Activity 6: Practice!,"Mon May 25, 2020",due by 11:59pm
Project,"Mon May 25, 2020",due by 11:59pm
HW Assignment 6: Database interactions and UI,"Fri Jun 5, 2020",due by 11:59pm
Final Exam,"Fri Jun 12, 2020",due by 11:59pm
Extra Credit for Piazza Discussion,,
